date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date,Parsed Date
6 Feb 2026 7:36:37 am UTC,26586309442,Order,403-1474910-4453955,CSG1H,TupTap Puzzle Rainbow Counting Soft Rubber Fruit Classification Fun Pairing Children's Montessori Early Education Toys  Sorting  Gift for Toddlers Pre,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,KOHIMA,NAGALAND,797001,760.95,0,0,0,38.05,0,0,-3.8,0,-89.57,0,-40.12,0,665.51,Released,18 Feb 2026 7:05:02 am UTC
6 Feb 2026 12:31:58 pm UTC,26565422632,Order,403-9202768-6957166,APK01,TupTap Cotton Air Pillow Pack of 2 PCs Khakhi Color with air Pump | Travelling Pillow for Train  Flight and Bus | Beach & Poolside,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Amazon,CALANGUTE,GOA,403516,475.24,0,0,0,23.76,0,0,-2.38,0,-29.44,-120.36,-15.34,0,331.48,Released,20 Feb 2026 12:01:32 am UTC
7 Feb 2026 1:25:49 am UTC,26512958352,FBA Inventory Fee,,,FBA storage fee,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-539.93,-539.93,Released,7 Feb 2026 1:25:49 am UTC
7 Feb 2026 6:07:26 am UTC,26495824682,Debt,,,Cross-Account Debt Adjustment,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,829.25,829.25,Released,7 Feb 2026 6:07:26 am UTC
7 Feb 2026 6:07:26 am UTC,26512958352,Debt,,,Cross-Account Debt Adjustment,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-829.25,-829.25,Released,7 Feb 2026 6:07:26 am UTC
7 Feb 2026 9:29:46 am UTC,26598746222,Shipping Services,402-3508449-0773961,,Easy Ship weight handling fees,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7,Released,18 Feb 2026 7:28:02 pm UTC
7 Feb 2026 9:45:26 am UTC,26598746222,Order,402-3508449-0773961,CSG1H,TupTap Puzzle Rainbow Counting Soft Rubber Fruit Classification Fun Pairing Children's Montessori Early Education Toys  Sorting  Gift for Toddlers Pre,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,Latur,MAHARASHTRA,413531,760.95,0,0,0,38.05,0,0,-3.8,0,-89.57,0,-40.12,0,665.51,Released,18 Feb 2026 11:17:40 pm UTC
7 Feb 2026 10:57:04 am UTC,26538063562,Order,407-7923174-7655544,CSG1,TupTap Puzzle Rainbow Counting Soft Rubber Fruit Classification Fun Pairing Children's Montessori Early Education Toys  Sorting  Gift for Toddlers Pre,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Amazon,Chariduar,ASSAM,784103,760.95,38.1,0,-38.1,38.05,0,0,-3.8,0,-89.57,-83.78,-30.68,0,591.17,Released,18 Feb 2026 7:27:06 am UTC
8 Feb 2026 12:04:21 pm UTC,26598746222,Order,408-7538009-8670767,APK01,TupTap Cotton Air Pillow Pack of 2 PCs Khakhi Color with air Pump | Travelling Pillow for Train  Flight and Bus | Beach & Poolside,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Amazon,HYDERABAD,TELANGANA,500090,475.24,38.1,0,-38.1,23.76,0,0,-2.38,0,-29.44,-120.36,-15.34,0,331.48,Released,19 Feb 2026 9:11:35 pm UTC
8 Feb 2026 9:45:44 pm UTC,26495824682,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,-2008.79,-361.58,-2370.37,Released,8 Feb 2026 9:45:44 pm UTC
9 Feb 2026 10:05:53 am UTC,26538063562,Order,404-3641260-0343532,APK01,TupTap Cotton Air Pillow Pack of 2 PCs Khakhi Color with air Pump | Travelling Pillow for Train  Flight and Bus | Beach & Poolside,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Amazon,MUMBAI,MAHARASHTRA,400074,475.24,0,0,0,23.76,0,0,-2.38,0,-29.44,-120.36,-15.34,0,331.48,Released,17 Feb 2026 10:47:21 pm UTC
9 Feb 2026 10:36:29 am UTC,26610588802,Order,405-5271455-9877126,APK01,TupTap Cotton Air Pillow Pack of 2 PCs Khakhi Color with air Pump | Travelling Pillow for Train  Flight and Bus | Beach & Poolside,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Amazon,NANDYAL,ANDHRA PRADESH,518501,475.24,38.1,0,-38.1,23.76,0,0,-2.38,0,-29.44,-120.36,-15.34,0,331.48,Released,20 Feb 2026 7:46:21 am UTC
9 Feb 2026 3:41:03 pm UTC,26620583412,Order,408-1859948-5193909,HBM-125,TupTap Human Body Structure Model 3D Puzzles  for 6+Year Old Kids  DIY Educational Science Project | Removable Organs Bones STEM  29 Piece Anatomy Fig,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Amazon,udhampur,JAMMU & KASHMIR,182101,0,0,0,0,0,0,0,0,0,0,-120.36,0,0,-120.36,Released,21 Feb 2026 7:14:03 am UTC
9 Feb 2026 7:56:01 pm UTC,26632871082,Order,171-1874389-4061964,HBM-125,TupTap Human Body Structure Model 3D Puzzles  for 6+Year Old Kids  DIY Educational Science Project | Removable Organs Bones STEM  29 Piece Anatomy Fig,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Amazon,SRINAGAR,JAMMU & KASHMIR,190006,665.71,38.1,0,-38.1,33.29,0,0,-3.33,0,-70.12,-120.36,-30.68,0,474.51,Released,25 Feb 2026 11:56:50 pm UTC
10 Feb 2026 5:56:11 am UTC,26512958352,FBA Inventory Fee,,,FBA Inbound Pickup Service,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-311.52,-311.52,Released,10 Feb 2026 5:56:11 am UTC
10 Feb 2026 6:02:12 am UTC,26598746222,Shipping Services,402-3508449-0773961,,Amazon Easy Ship Weight Handling Fee Reversal,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,76.7,0,76.7,Released,18 Feb 2026 6:58:58 pm UTC
10 Feb 2026 6:17:15 am UTC,26598746222,Refund,402-3508449-0773961,CSG1H,TupTap Puzzle Rainbow Counting Soft Rubber Fruit Classification Fun Pairing Children's Montessori Early Education Toys  Sorting  Gift for Toddlers Pre,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,Latur,MAHARASHTRA,413531,-760.95,0,0,0,-38.05,0,0,3.8,0,89.57,0,40.12,0,-665.51,Released,18 Feb 2026 10:32:46 pm UTC
